,word,local_word,pos
9352,impitoyablement,ruthlessly,adverb
9353,Safari,safari,noun
9354,avancé,advanced,participle
9355,aspirateur,vacuum,noun
9356,aspirateur,vacuum cleaner,noun
9357,spécificité,specificity,noun
9358,spécificité,characteristic,noun
9359,spécificité,specific characteristic,noun
9360,banjo,banjo,noun
9361,trompeur,misleading,adjective
9362,trompeur,deceptive,adjective
9363,trompeur,deceitful,adjective
9364,imperméabilité,impermeability,noun
9365,imperméabilité,waterproofness,noun
9366,sacrilège,sacrilege,noun
9367,sacrilège,sacrilegious,adjective
9368,déterminisme,determinism,noun
9369,participer,participate,verb
9370,participer,take part,noun
9371,Fry,fry,noun
9372,aortique,aortic,noun
9373,métabolisme,metabolism,noun
9374,placebo,placebo,noun
9375,placébo,placebo,noun
9376,luminescent,luminescent,adjective
9377,capacité,capacity,noun
9378,fusion,merger,noun
9379,fusion,fusion,noun
9380,fusion,merge,verb
9381,fusion,amalgamation,noun
9382,fusion,blend,noun
9383,Abercrombie,abercrombie,noun
9384,éleveur,breeder,noun
9385,éleveur,reputable breeder,noun
9386,bois,wood,noun
9387,bois,timber,noun
9388,antigel,antifreeze,noun
9389,parachutisme,skydiving,noun
9390,centrifugation,centrifugation,noun
9391,Eriksen,Eriksen,noun
9392,asservir,enslave,verb
9393,asservir,subjugate,noun
9394,certainement,certainly,adverb
9395,certainement,definitely,adverb
9396,certainement,surely,adverb
9397,obscurité,darkness,noun
9398,palpable,palpable,adjective
9399,palpable,tangible,noun
9400,disséquer,dissect,verb
9401,indiscutable,indisputable,adjective
9402,indiscutable,undisputed,adjective
9403,indiscutable,indisputable fact,noun
9404,contremarche,riser,noun
9405,carton,cardboard,noun
9406,consolateur,comforter,noun
9407,surveillance,surveillance,noun
9408,surveillance,supervisory,noun
9409,éthiopien,Ethiopian,noun
9410,lionceau,cub,noun
9411,lionceau,lion cub,noun
9412,AGA,Aga,noun
9413,monotone,monotonous,adjective
9414,monotone,monotone,noun
9415,monotone,monotonically,adverb
9416,monotone,monotonic,adjective
9417,pentagramme,pentagram,noun
9418,terriblement,terribly,adverb
9419,terriblement,badly,adverb
9420,Potsdam,Potsdam,noun
9421,tapir,tapir,noun
9422,topographie,topography,noun
9423,projection,projection,noun
9424,projection,screening,noun
9425,projection,project,verb
9426,adapter,adapt,verb
9427,adapter,fit,verb
9428,coulant,flowing,participle
9429,Océanie,Oceania,noun
9430,alors,then,adverb
9431,alors,while,conjunction
9432,alors,whereas,conjunction
9433,Mike,Mike,noun
9434,corps,body,noun
9435,parquet,parquet,noun
9436,parquet,parquet floor,noun
9437,néophyte,neophyte,noun
9438,oct,Oct,noun
9439,majoritairement,mainly,adverb
9440,Freddie,Freddie,noun
9441,Braun,Braun,noun
9442,viol,rape,noun
9443,césium,cesium,noun
9444,formalité,formality,noun
9445,infuser,infuse,verb
9446,spoliateur,rear spoiler,noun
9447,spoliateur,front spoiler,noun
9448,brie,brie,noun
9449,familial,family,noun
9450,familial,family-run,noun
9451,Bruges,Bruges,noun
9452,Bruges,Brugge,noun
9453,insolvabilité,insolvency,noun
9454,aérobic,aerobics,noun
9455,aérobic,aerobic,noun
9456,subrepticement,surreptitiously,adverb
9457,joint,joint,noun
9458,joint,attached,participle
9459,joint,seal,noun
9460,Islamabad,Islamabad,noun
9461,avérer,turn,verb
9462,avérer,prove,verb
9463,avérer,turn out,verb
9464,escroquer,scam,noun
9465,escroquer,defraud,verb
9466,escroquer,swindle,verb
9467,précéder,precede,verb
9468,précéder,preceed,noun
9469,fan,fan,noun
9470,calme,quiet,noun
9471,calme,peaceful,adjective
9472,répétition,repetition,noun
9473,répétition,repeated,adjective
9474,égyptologue,Egyptologist,noun
9475,rallye,rally,noun
9476,rallye,Rallye,noun
9477,Whitman,Whitman,noun
9478,Pereira,Pereira,noun
9479,programmatique,programmatic,adjective
9480,Capricorne,Capricorn,noun
9481,dose,dose,noun
9482,litigieux,contested,adjective
9483,litigieux,litigious,adjective
9484,Maker,maker,noun
9485,finesse,finesse,noun
9486,finesse,fineness,noun
9487,finesse,smoothness,noun
9488,Trèves,Trier,noun
9489,UEM,emu,noun
9490,Whitechapel,Whitechapel,noun
9491,adénocarcinome,adenocarcinoma,noun
9492,obsidienne,obsidian,noun
9493,développeur,developer,noun
9494,Abby,Abby,noun
9495,idiomatique,idiomatic,adjective
9496,idiomatique,idiom,noun
9497,Geary,Geary,noun
9498,toss,toss,verb
9499,enseignement,education,noun
9500,enseignement,teach,verb
9501,enseignement,educational,adjective
9502,maltraiter,abuse,verb
9503,maltraiter,mistreat,verb
9504,lièvre,hare,noun
9505,multicolore,multicolored,adjective
9506,multicolore,multicolor,noun
9507,multicolore,colourful,adjective
9508,texto,text message,noun
9509,sacrément,damn,noun
9510,sacrément,darn,noun
9511,fonds,fund,noun
9512,silicone,silicone,noun
9513,Garry,Garry,noun
9514,poker,poker,noun
9515,g,g,noun
9516,Quark,quark,noun
9517,fluide,fluid,noun
9518,pastel,pastel,noun
9519,abonnement,subscription,noun
9520,industrie,industry,noun
9521,prestation,benefit,noun
9522,flemme,too lazy,adjective
9523,exploration,exploration,noun
9524,Laurie,Laurie,noun
9525,Foxtrot,Foxtrot,noun
9526,Stuart,Stuart,noun
9527,Égée,Aegean,noun
9528,soda,soda,noun
9529,terreau,potting,participle
9530,terreau,loam,noun
9531,terreau,breeding ground,noun
9532,histogramme,histogram,noun
9533,radiothérapie,radiation,noun
9534,occupé,busy,noun
9535,occupé,occupied,participle
9536,Robin,Robin,noun
9537,couperose,couperose,noun
9538,articuler,articulate,adjective
9539,articuler,articulated,adjective
9540,articuler,formulate,verb
9541,Maxime,Maxim,noun
9542,Maxime,Maximus,noun
9543,CA,CA,invariable
9544,Bretagne,Britain,noun
9545,Bretagne,Brittany,noun
9546,Bretagne,England,noun
9547,compter,count,verb
9548,compter,rely,verb
9549,compter,counting,noun
9550,orthodoxe,Orthodox,noun
9551,Bertha,Bertha,noun
9555,Pavel,Pavel,noun
9556,Rosen,Rosen,noun
9557,chancellement,staggering,adjective
9558,offreur,offeror,noun
9559,offreur,offerer,noun
9560,cachalot,sperm whale,noun
9561,cachalot,cachalot,noun
9562,Pharmacologie,pharmacology,noun
9563,journaliser,logged,adjective
9564,Marlène,Marlene,noun
9565,parc,park,noun
9566,dictatorial,dictatorial,adjective
9567,Jennifer,jennifer,noun
9568,promoteur,proponent,noun
9569,promoteur,promoter,noun
9570,promoteur,developer,noun
9571,affligeant,distressing,adjective
9572,Madone,Madonna,noun
9573,étiqueter,label,verb
9574,étiqueter,labelled,adjective
9575,constitutionnel,constitutional,noun
9576,chère,expensive,adjective
9577,microcrédit,microcredit,noun
9578,piège,trap,noun
9579,piège,pitfall,noun
9580,préparation,preparation,noun
9581,influence,influence,noun
9582,négligemment,carelessly,adverb
9583,négligemment,casually,adverb
9584,prolongateur,extender,noun
9585,réverbère,street lamp,noun
9586,réverbère,streetlight,noun
9587,archéologue,archaeologist,noun
9588,Andromeda,Andromeda,noun
9589,docteur,doctor,noun
9590,raifort,horseradish,noun
9591,fleurir,bloom,verb
9592,fleurir,flower,verb
9593,fleurir,blooming,noun
9594,tonnage,tonnage,noun
9595,Fourgonnette,van,noun
9596,Sahara,Sahara,noun
9597,service,service,noun
9598,service,serve,verb
9599,prélèvement,levy,noun
9600,prélèvement,sampling,noun
9601,Breakfast,breakfast,noun
9602,implacablement,relentlessly,adverb
9603,scénariste,scriptwriter,noun
9604,parenthèse,parenthesis,noun
9605,temporaire,temporary,adjective
9606,vertu,virtue,noun
9607,dicton,saying,noun
9608,ballast,ballast,noun
9609,cigale,cicada,noun
9610,rouvrir,reopen,verb
9611,tenon,tenon,noun
9612,pénétration,penetration,noun
9613,tétanos,tetanus,noun
9614,tendeur,tensioner,noun
9616,Dolly,dolly,noun
9617,bâtir,build,verb
9618,bâtir,building,noun
9619,brûlant,burning,noun
9620,brûlant,hot,adjective
9621,parfaire,perfect,verb
9622,parfaire,perfected,adjective
9623,nervosité,nervousness,noun
9624,ornementation,ornamentation,noun
9625,négativisme,negativism,noun
9626,densifier,densify,verb
9627,cylindrique,cylindrical,adjective
9628,épiler,tweezers,noun
9629,adoucisseur,softener,noun
9630,Hydra,Hydra,noun
9631,alléchant,tempting,adjective
9632,alléchant,enticing,adjective
9633,alléchant,tantalizing,participle
9634,alléchant,mouthwatering,noun
9635,décorum,decorum,noun
9636,légalement,legally,adverb
9637,croisière,cruise,noun
9638,Davies,Davies,noun
9639,charcuterie,sausage,noun
9640,chercheur,researcher,noun
9641,cursive,cursive,noun
9642,cursive,recursive,adjective
9643,privé,private,noun
9644,masqué,hidden,participle
9645,masqué,concealed,adjective
9646,caporal,corporal,noun
9647,caporal,CPL,noun
9648,guêpe,wasp,noun
9649,resplendissant,resplendent,noun
9650,instinctif,instinctive,adjective
9651,instinctif,instinctual,adjective
9652,affichage,display,noun
9653,hydrater,moisturize,verb
9654,hydrater,hydrate,noun
9655,hydrater,moisturizer,noun
9656,définitivement,definitely,adverb
9657,définitivement,permanently,adverb
9658,définitivement,definitively,adverb
9659,alarmer,alarm,noun
9660,alarmer,alarmed,adjective
9661,massue,mace,noun
9662,Topeka,Topeka,noun
9663,créature,creature,noun
9664,timbre,stamp,noun
9665,timbre,timbre,noun
9666,timbré,stamped,participle
9667,Alexeï,Alexei,noun
9668,ridé,wrinkled,adjective
9669,ridé,wrinkly,adjective
9670,subir,suffer,verb
9671,subir,undergo,verb
9672,Bazar,bazaar,noun
9673,communication,communication,noun
9674,torréfaction,roast,verb
9675,Cella,cella,noun
9676,gaffe,blunder,noun
9677,gaffe,gaffe,noun
9678,gaffe,gaff,noun
9679,gaffe,goof,noun
9680,collisionneur,hadron,noun
9681,proue,bow,noun
9682,proue,prow,noun
9683,proue,figurehead,noun
9684,épistémologie,epistemology,noun
9685,courber,curve,verb
9686,courber,bend,verb
9687,courber,bent,noun
9688,courber,curved,adjective
9689,enquête,investigation,noun
9690,enquête,investigate,verb
9691,réquisition,requisition,noun
9692,vasospasme,vasospasm,noun
9693,endothélial,endothelial,noun
9694,carbonatation,carbonation,noun
9695,conclure,conclude,verb
9696,Albany,Albany,noun
9697,caveau,vault,noun
9698,Bai,Bai,noun
9699,surhomme,superman,noun
9700,Gopher,gopher,noun
9701,Neuron,neuron,noun
9702,radiodiffuseur,broadcaster,noun
9703,décote,discount,noun
9704,neutre,neutral,noun
9705,cupcake,cupcake,noun
9706,McLean,McLean,noun
9707,fongique,fungal,adjective
9708,réunir,meet,verb
9709,réunir,gather,verb
9710,réunir,gathering,noun
9711,Giza,Giza,noun
9712,agglutination,agglutination,noun
9714,chargé,in charge,adverb
9715,chargé,responsible,participle
9716,Pyongyang,Pyongyang,noun
9717,préférence,preference,noun
9718,immérité,undeserved,adjective
9719,fauconnier,Falconer,noun
9720,tester,test,verb
9721,tester,testing,noun
9722,endomètre,endometrial,noun
9723,grammatical,grammatical,adjective
9724,grammatical,grammar,noun
9725,chaudement,warmly,adverb
9726,claquettes,tap dance,noun
9727,boulette,dumpling,noun
9728,boulette,meatball,noun
9729,boulette,pellet,noun
9730,concerner,concern,verb
9731,concerner,involve,verb
9732,confiné,confined,participle
9733,beignet,donut,noun
9734,beignet,fritter,noun
9735,tarif,rate,noun
9736,tarif,tariff,noun
9737,tarif,fee,verb
9738,tarif,room rate,noun
9739,poche,pocket,noun
9740,poche,handheld,noun
9741,poche,flashlight,noun
9742,syllabe,syllable,noun
9743,empêtrer,entangled,adjective
9744,croûte,crust,noun
9745,tonnerre,thunder,noun
9746,tonnerre,thunderous,adjective
9747,musique,musical,noun
9748,Margaret,Margaret,noun
9749,refuser,refuse,verb
9750,refuser,deny,verb
9751,refuser,decline,verb
9752,refuser,reject,verb
9753,refuser,refused,adjective
9754,notificateur,notifier,noun
9755,hémisphérique,hemispherical,adjective
9756,hémisphérique,hemispheric,noun
9757,affamé,hungry,noun
9758,affamé,starving,adjective
9759,affamé,famished,adjective
9760,boyard,boyar,noun
9761,billion,trillion,noun
9762,crachin,drizzle,noun
9763,bévue,blunder,noun
9764,dérailler,derail,verb
9765,pureté,purity,noun
9766,chaussette,sock,noun
9767,Greenwich,Greenwich,noun
9768,Jackman,Jackman,noun
9769,jetable,disposable,noun
9770,jetable,throwaway,noun
9771,assyrien,Assyrian,noun
9772,station,station,noun
9773,station,resort,noun
9774,narcolepsie,narcolepsy,noun
9775,poivré,peppery,adjective
9776,poivré,pepper spray,noun
9777,tracasser,bother,verb
9778,activiste,activist,noun
9779,revendiquer,claim,verb
9780,revendiquer,boasting,noun
9781,photographe,photographer,noun
9782,seau,bucket,noun
9783,seau,pail,noun
9784,comptabilité,accounting,noun
9785,Leisure,leisure,noun
9786,médicinal,medicinal,adjective
9787,médicinal,medical,noun
9788,précisément,precisely,adverb
9789,Aphrodite,Aphrodite,noun
9790,deuxième,second,noun
9791,deuxième,secondary,adjective
9792,comment,how,adverb
9793,récipient,container,noun
9794,multiforme,multiform,noun
9795,multiforme,multi-faceted,adjective
9796,Pinto,Pinto,noun
9797,prétendu,alleged,participle
9798,prétendu,purported,participle
9799,fanatisme,fanaticism,noun
9800,mélodrame,melodrama,noun
9801,sciemment,knowingly,adverb
9802,sciemment,deliberately,adverb
9803,sciemment,willfully,adverb
9804,portugaise,with Portugal,adverb
9805,président,President,noun
9806,caresser,fondle,verb
9807,caresser,pat,noun
9808,stimulation,stimulation,noun
9809,braser,braze,verb
9810,braser,solder,noun
9811,desserrer,loosen,verb
9812,desserrer,slacken,verb
9813,desserrer,unscrew,verb
9814,inutilisé,unused,adjective
9815,mauricien,Mauritian,noun
9816,objectivité,objectivity,noun
9817,jeton,token,noun
9818,réfléchi,thoughtful,noun
9819,réfléchi,reflected,participle
9820,imperceptible,imperceptible,adjective
9821,flambeau,torch,noun
9822,tertiaire,tertiary,noun
9823,idéologiquement,ideologically,adverb
9824,baisse,drop,noun
9825,Rock,rock,noun
9826,Lone,lone,noun
9827,détrôner,dethrone,verb
9828,monotonie,monotony,noun
9829,amiral,Admiral,noun
9830,amiral,flagship,noun
9831,amiral,rear Admiral,noun
9832,tabac,tobacco,noun
9833,Bénin,benign,noun
9834,Bénin,mild,adjective
9835,piraterie,piracy,noun
9836,Dalmatie,Dalmatian,noun
9837,Gaby,Gaby,noun
9838,Player,player,noun
9839,ruer,rush,noun
9840,Nate,Nate,noun
9841,hoquet,hiccup,noun
9842,kétamine,ketamine,noun
9843,professer,profess,verb
9844,professer,professed,adjective
9845,métaboliser,metabolize,verb
9846,collectivisation,collectivization,noun
9847,fortification,fortification,noun
9848,avance,advance,noun
9850,Pronostiqueur,tipster,noun
9851,acariens,mite,noun
9852,acariens,dust mite,noun
9853,médaillon,medallion,noun
9854,médaillon,locket,noun
9855,préalable,prior,noun
9856,préalable,prerequisite,noun
9857,préalable,previous,adjective
9858,Rimbaud,Rimbaud,noun
9859,scandinave,Scandinavian,noun
9860,synthétiseur,synthesizer,noun
9861,podiatre,podiatrist,noun
9862,impotent,helplessness,noun
9863,Drive,drive,noun
9864,segmentation,segmentation,noun
9865,verbosité,verbosity,noun
9866,subtilement,subtly,adverb
9867,difficilement,hardly,adverb
9868,galbé,shapely,adjective
9869,cafétéria,cafeteria,noun
9870,cafeteria,cafeteria,noun
9871,tournesol,sunflower,noun
9872,tournesol,sunflower seed,noun
9873,revendeur,dealer,noun
9874,carboxylique,carboxylic,noun
9875,Newton,Newton,noun
9876,Newton,Newtonian,noun
9877,propriété,property,noun
9878,Angelina,angelina,noun
9879,rattrapage,catch up,verb
9880,connaissement,lading,noun
9881,Medea,Medea,noun
9882,pyrotechnie,pyrotechnics,noun
9883,Mailer,mailer,noun
9884,grenouille,frog,noun
9885,rafale,gust,noun
9886,Val,Val,noun
9887,lignée,lineage,noun
9888,lignée,bloodline,noun
9889,Rome,Rome,noun
9890,œsophage,oesophagus,noun
9891,transsexuelle,transsexual,noun
9892,tourment,torment,noun
9893,empiler,stack,verb
9894,empiler,piling,noun
9895,Kant,Kant,noun
9896,détoner,detonate,verb
9897,RIM,rim,noun
9898,éclairci,cleared up,participle
9899,regrouper,group,verb
9900,regrouper,group together,verb
9901,buis,boxwood,noun
9902,généalogique,genealogical,noun
9903,bruissement,rustle,noun
9904,bolus,bolus,noun
9905,berger,shepherd,noun
9906,berger,herder,noun
9907,Baudelaire,Baudelaire,noun
9908,pressurage,pressing,noun
9909,tasse,cup,noun
9911,Engelure,frostbite,noun
9912,astronome,astronomer,noun
9913,Concorde,Concorde,noun
9914,Concorde,concord,noun
9915,artillerie,artillery,noun
9916,pharmaceutique,pharmaceutical,adjective
9917,polir,Polish,verb
9918,polir,buff,noun
9919,planchette,lath,noun
9920,Tiller,tiller,noun
9922,blocage,blocking,noun
9923,blocage,block,noun
9924,bailleur,funder,noun
9925,bailleur,lessor,noun
9926,bailleur,backer,noun
9927,bailleur,financial backer,noun
9928,reptilien,reptilian,noun
9929,relance,revival,noun
9930,écran,screen,noun
9931,Sidney,Sidney,noun
9932,Sidney,Sydney,noun
9933,dépopulation,depopulation,noun
9934,soudure,weld,noun
9935,minuit,midnight,noun
9936,réduit,reduced,noun
9937,réduit,discount,noun
9938,fraiseuse,milling,noun
9939,fraiseuse,milling machine,noun
9940,hésitation,hesitation,noun
9941,Reims,Reims,noun
9942,ampoule,bulb,noun
9943,ampoule,light bulb,noun
9944,ischémie,ischemia,noun
9945,ischémie,ischaemia,noun
9946,assisté,attended,noun
9947,conceptuel,conceptual,adjective
9948,prêtrise,priesthood,noun
9949,prêtrise,Aaronic priesthood,noun
9950,dégonfler,deflate,verb
9951,variole,smallpox,noun
9952,variole,pox,noun
9953,embêter,bother,verb
9954,pommade,ointment,noun
9955,pommade,pomade,noun
9957,généralisation,generalization,noun
9958,modernité,modernity,noun
9959,survol,overview,noun
9960,survol,rollover,noun
9961,survol,overflight,noun
9962,survol,flyover,noun
9963,noyau,kernel,noun
9964,acquiescer,acquiesce,verb
9965,rotin,rattan,noun
9966,Schweitzer,Schweitzer,noun
9967,déchirure,tear,noun
9968,déchirure,tearing,noun
9969,épidémie,epidemic,noun
9970,adaptateur,adapter,noun
9971,relais,relay,noun
9972,paysagiste,landscaper,noun
9973,paysagiste,landscape painter,noun
9974,subtilité,subtlety,noun
9975,détaillant,retailer,noun
9976,détaillant,dealer,noun
9977,rubis,ruby,noun
9978,bog,bog,noun
9979,OTAN,NATO,noun
9980,financier,financial,noun
9981,financier,fiscal,adjective
9982,vaporiser,spray,verb
9983,connotation,connotation,noun
9984,épilogue,epilogue,noun
9985,vitre,glazing,noun
9986,vitre,window pane,noun
9987,vitré,glazed,participle
9988,psychopathe,psychopath,noun
9989,psychopathe,psychopathic,noun
9990,sorte,kind,noun
9991,rendu,render,noun
9992,rendu,rendering,noun
9993,Connecticut,conn,noun
9994,asphyxie,asphyxiation,noun
9995,Walton,Walton,noun
9996,ponctuation,punctuation,noun
9997,enfermer,lock,verb
9998,enfermer,enclose,verb
9999,enfermer,lock up,verb
10000,mener,lead,verb
10001,mener,carry,noun
10002,mener,conduct,verb
10003,mener,leading,noun
10004,Benchmark,benchmark,noun
10005,jacent,underlying,adjective
10006,jacent,underlying asset,noun
10007,Neal,Neal,noun
10008,herbe,grass,noun
10009,effraction,breaking,noun
10010,effraction,break-ins,noun
10011,réécriture,rewrite,verb
10012,réécriture,overwrite,noun
10013,redevable,indebted,adjective
10014,immortel,immortal,adjective
10015,immortel,everlasting,noun
10016,immortel,immortals,noun
10017,poivrer,pepper,noun
10018,Lloyd,Lloyd,noun
10019,tabouret,stool,noun
10020,tanche,tench,noun
10021,trajectoire,path,noun
10022,vannerie,basketry,noun
10023,micrographie,Micrography,noun
10024,interférer,interfere,verb
10025,chaleureusement,warmly,adverb
10026,chaleureusement,warm welcome,noun
10027,saule,willow,noun
10028,saule,willow tree,noun
10029,pick,pickup truck,noun
10030,suffixe,suffix,noun
10031,amincir,thin,verb
10032,Pan,pan,noun
10033,myocarde,infarction,noun
10034,baisser,lower,verb
10035,baisser,drop,verb
10036,baisser,decline,verb
10037,baisser,decrease,verb
10038,baisser,cut,noun
10039,altruiste,altruistic,adjective
10040,altruiste,selfless,noun
10041,altruiste,altruist,noun
10042,Jen,Jen,noun
10043,luire,glow,verb
10044,envoler,fly away,verb
10045,envoler,soar,verb
10046,itération,iteration,noun
10047,Gibson,Gibson,noun
10048,homologation,approval,noun
10049,entreposage,storage,noun
10050,entreposage,warehousing,noun
10051,additionnel,supplementary,noun
10052,visser,screw,verb
10053,visser,screwed,adjective
10054,vénézuélien,Venezuelan,noun
10055,ravir,delight,verb
10056,pluie,rain,noun
10057,pluie,rainy,adjective
10058,nourriture,food,noun
10059,dingue,crazy,noun
10060,dingue,mad,adjective
10061,isolant,insulation,noun
10062,isolant,insulating,adjective
10063,isolant,insulate,verb
10064,pharmacien,pharmacist,noun
10065,Baluchistan,Baluchistan,noun
10066,Beaufort,Beaufort,noun
10067,navette,shuttle,noun
10068,navette,shuttle service,noun
10069,antre,den,noun
10070,maximal,maximum,noun
10071,Constantinople,Constantinople,noun
10072,papillon,butterfly,noun
10073,priorité,priority,noun
10074,délégué,delegate,noun
10075,escargot,snail,noun
10076,entièrement,fully,adverb
10077,entièrement,entirely,adverb
10078,entièrement,completely,adverb
10079,calvitie,baldness,noun
10080,calvitie,pattern baldness,noun
10081,calvitie,balding,adjective
10082,inhaler,inhale,verb
10083,alsacien,Alsatian,noun
10084,Henrietta,Henrietta,noun
10085,afficheur,viewer,noun
10086,musculaire,muscle,noun
10087,musculaire,muscular,adjective
10088,improvisateur,improviser,noun
10089,saloon,saloon,noun
10090,patronne,patron,noun
10091,Anselm,Anselm,noun
10092,Zenon,Zenon,noun
10093,gratte,skyscraper,noun
10094,esturgeon,sturgeon,noun
10095,métropole,metropolis,noun
10096,métropole,Metropolitan France,noun
10097,transgenre,transgender,noun
10098,Cypher,cypher,noun
10099,affaires,business,noun
10100,renverser,overthrow,verb
10101,renverser,reverse,verb
10102,accéder,access,verb
10103,accéder,go,noun
10104,Debra,Debra,noun
10105,auditeur,listener,noun
10106,auditeur,auditor,noun
10107,anagramme,anagram,noun
10108,glorifier,glorify,verb
10109,glorifier,praise,noun
10110,commandité,general partner,noun
10111,captiver,captivate,verb
10112,captiver,enthrall,verb
10113,captiver,enthral,verb
10114,verdict,verdict,noun
10115,faveur,favour,noun
10116,stochastique,stochastic,adjective
10117,orge,barley,noun
10118,souffrance,suffering,noun
10119,souffrance,pain,noun
10120,souffrance,sorrow,noun
10121,souffrance,anguish,noun
10122,souffrance,affliction,noun
10123,Forge,forge,noun
10124,Matisse,Matisse,noun
10125,rébellion,rebellion,noun
10126,rébellion,uprising,noun
10127,tu,you,pronoun
10128,sonder,probe,verb
10129,sonder,fathom,verb
10130,sonder,sounding,noun
10131,déduction,deduction,noun
10132,disséminer,disseminate,verb
10133,disséminer,disseminated,adjective
10134,terrestre,terrestrial,noun
10135,terrestre,earthly,adjective
10136,contrariété,annoyance,noun
10137,relativité,relativity,noun
10138,relativité,special relativity,noun
10139,sioniste,Zionist,noun
10140,généraliste,generalist,noun
10141,fonctionnaliste,functionalist,noun
10142,Gallois,Welsh,noun
10143,japonais,Japanese,noun
10144,habiter,live,verb
10145,habiter,inhabited,adjective
10146,habiter,inhabit,verb
10147,habiter,living,noun
10148,paradoxal,paradoxical,adjective
10149,PTA,PTA,noun
10150,fructification,fructification,noun
10151,anatomie,anatomy,noun
10152,cursus,curriculum,noun
10153,quinine,quinine,noun
10154,propitiation,propitiation,noun
10155,instructif,informative,adjective
10156,instructif,enlightening,adjective
10157,Alibi,alibi,noun
10158,affiner,refine,verb
10159,Angkor,Angkor,noun
10160,présidence,presidency,noun
10162,exalter,exalt,verb
10163,exalter,extol,verb
10164,carence,deficiency,noun
10165,carence,lack,noun
10166,Spade,spade,noun
10167,Isobel,Isobel,noun
10168,savonner,lather,verb
10169,whiskey,whiskey,noun
10170,décemment,decently,adverb
10171,hypnose,hypnosis,noun
10172,classiquement,classically,adverb
10173,classiquement,conventionally,adverb
10174,couturière,seamstress,noun
10175,manucure,manicure,noun
10176,manucure,manicurist,noun
10177,calendrier,calendar,noun
10178,tamada,tamada,noun
10179,chatoyant,shimmering,noun
10180,chatoyant,shimmer,noun
10181,chatoyant,iridescent,adjective
10182,résonance,resonance,noun
10183,résonance,resonant,adjective
10184,rétinien,retinal,adjective
10185,espoir,hope,noun
10186,mite,mite,noun
10187,mite,moth,noun
10188,Cadet,cadet,noun
10189,joaillerie,jewellery,noun
10190,rétrovirus,retrovirus,noun
10191,agrandissement,enlargement,noun
10192,agrandissement,magnification,noun
10193,brûleur,burner,noun
10194,asservissement,enslavement,noun
10195,buffle,buffalo,noun
10196,sondage,survey,noun
10197,synchronisé,synchronized,noun
10198,manquer,lack,verb
10199,duplicata,duplicate,noun
10200,duplicata,duplicate copy,noun
10201,définition,definition,noun
10202,accablant,overwhelming,adjective
10203,accablant,damning,adjective
10204,Apogee,apogee,noun
10205,apogée,peak,noun
10206,apogée,climax,noun
10207,apogée,heyday,noun
10208,hindou,Hindu,noun
10209,hindou,Hindoo,noun
10210,dur,hard,adjective
10211,dur,tough,noun
10212,Casper,Casper,noun
10213,règle,rule,noun
10214,symbolique,symbolic,adjective
10215,symbolique,symlink,noun
10216,symbolique,nominal,noun
10217,déséquilibre,imbalance,adjective
10218,déséquilibre,disequilibrium,noun
10219,conciliateur,conciliator,noun
10220,retravailler,reworked,adjective
10221,retravailler,rework,noun
10222,retravailler,reworking,noun
10224,délicat,delicate,adjective
10225,délicat,tricky,adjective
10226,délicat,gentle,noun
10227,convivial,friendly,adjective
10228,convivial,user-friendly,adjective
10229,Oprah,Oprah,noun
10230,oppression,oppression,noun
10231,armement,armament,noun
10232,sucrier,sugar bowl,noun
10233,tanker,tanker,noun
10234,Mascate,Muscat,noun
10235,Hilda,Hilda,noun
10236,Dino,Dino,noun
10237,promouvoir,promote,verb
10238,séparatisme,separatism,noun
10239,plumer,pluck,verb
10240,Bach,Bach,noun
10241,quizz,quiz,noun
10242,éboulement,landslide,noun
10243,superstar,superstar,noun
10244,abdication,abdication,noun
10245,humblement,humbly,adverb
10246,censure,censorship,noun
10247,Charm,Sharm,noun
10248,rattraper,catch,verb
10249,complexe,complex,noun
10250,infatigable,tireless,adjective
10251,infatigable,relentless,participle
10252,lourdement,heavily,adverb
10253,lourdement,severely,adverb
10254,raillerie,taunt,noun
10255,seize,sixteen,numeral
10256,Hill,hill,noun
10257,aloès,aloe,noun
10258,aloès,aloe Vera,noun
10259,pale,rotor blade,noun
10260,pâle,pale,noun
10261,pâle,pallid,adjective
10262,Lacroix,Lacroix,noun
10263,baver,drool,verb
10264,logement,housing,noun
10265,logement,accommodation,noun
10266,logement,dwelling,noun
10267,logement,lodging,noun
10268,tituber,stagger,verb
10269,dépénaliser,decriminalise,verb
10270,présentateur,presenter,noun
10271,quadrilatère,quadrilateral,noun
10272,Edouard,Edward,noun
10273,Édouard,Edward,noun
10274,Novella,Novella,noun
10275,écliptique,ecliptic,noun
10276,distinctement,distinctly,adverb
10277,distinctement,distinctively,adverb
10278,détesté,hated,noun
10279,colombien,Columbian,noun
10280,cristallographie,crystallography,noun
10281,mentalement,mentally,adverb
10282,pédiatrie,pediatrics,noun
10283,pédiatrie,pediatric,noun
10284,interprétation,interpretation,noun
10285,interprétation,interpretive,noun
10286,personnalisation,customization,noun
10287,décès,death,noun
10288,fantaisiste,whimsical,adjective
10289,fantaisiste,fanciful,adjective
10290,Ella,Ella,noun
10291,répulsif,repellent,noun
10292,répulsif,repulsive,adjective
10293,intelligentsia,intelligentsia,noun
10294,Impresario,impresario,noun
10295,sécheresse,drought,noun
10296,sécheresse,dryness,noun
10297,McPherson,McPherson,noun
